Name,Stance on crypto,Role,State,Party
John Kennedy,Strongly Supportive,Senator,Louisiana,Republican
Mike Kennedy,Strongly Supportive,Congressperson,Utah,Republican
Jen Kiggans,Strongly Supportive,Congressperson,Virginia,Republican
Kevin Kiley,Strongly Supportive,Congressperson,California,Republican
Brad Knott,Strongly Supportive,Congressperson,North Carolina,Republican
David Kustoff,Strongly Supportive,Congressperson,Tennessee,Republican
Darin LaHood,Strongly Supportive,Congressperson,Illinois,Republican
Doug LaMalfa,Strongly Supportive,Congressperson,California,Republican
Greg Landsman,Strongly Supportive,Congressperson,Ohio,Democratic
Nick Langworthy,Strongly Supportive,Congressperson,New York,Republican
James Lankford,Strongly Supportive,Senator,Oklahoma,Republican
George Latimer,Strongly Supportive,Congressperson,New York,Democratic
Bob Latta,Strongly Supportive,Congressperson,Ohio,Republican
Mike Lee,Strongly Supportive,Senator,Utah,Republican
Laurel Lee,Strongly Supportive,Congressperson,Florida,Republican
Julia Letlow,Strongly Supportive,Congressperson,Louisiana,Republican
Frank Lucas,Strongly Supportive,Congressperson,Oklahoma,Republican
Anna Paulina Luna,Strongly Supportive,Congressperson,Florida,Republican
Morgan Luttrell,Strongly Supportive,Congressperson,Texas,Republican
Nancy Mace,Strongly Supportive,Congressperson,South Carolina,Republican
Nicole Malliotakis,Strongly Supportive,Congressperson,New York,Republican
Celeste Maloy,Strongly Supportive,Congressperson,Utah,Republican
Tracey Mann,Strongly Supportive,Congressperson,Kansas,Republican
John Mannion,Strongly Supportive,Congressperson,New York,Democratic
Thomas Massie,Strongly Supportive,Congressperson,Kentucky,Republican
Brian Mast,Strongly Supportive,Congressperson,Florida,Republican
Michael McCaul,Strongly Supportive,Congressperson,Texas,Republican
Lisa McClain,Strongly Supportive,Congressperson,Michigan,Republican
Tom McClintock,Strongly Supportive,Congressperson,California,Republican
Mitch McConnell,Strongly Supportive,Senator,Kentucky,Republican
Dave McCormick,Strongly Supportive,Senator,Pennsylvania,Republican
Rich McCormick DR.,Strongly Supportive,Congressperson,Georgia,Republican
Addison Mcdowell,Strongly Supportive,Congressperson,North Carolina,Republican
John Mcguire,Strongly Supportive,Congressperson,Virginia,Republican
Mark Messmer,Strongly Supportive,Congressperson,Indiana,Republican
Mary Miller,Strongly Supportive,Congressperson,Illinois,Republican
Max Miller,Strongly Supportive,Congressperson,Ohio,Republican
Carol Miller,Strongly Supportive,Congressperson,West Virginia,Republican
Mariannette Miller-Meeks,Strongly Supportive,Congressperson,Iowa,Republican
Cory Mills,Strongly Supportive,Congressperson,Florida,Republican
Ashley Moody,Strongly Supportive,Senator,Florida,Republican
John Moolenaar,Strongly Supportive,Congressperson,Michigan,Republican
Barry Moore,Strongly Supportive,Congressperson,Alabama,Republican
Blake Moore,Strongly Supportive,Congressperson,Utah,Republican
Tim Moore,Strongly Supportive,Congressperson,North Carolina,Republican
Nathaniel Moran,Strongly Supportive,Congressperson,Texas,Republican
Bernie Moreno,Strongly Supportive,Senator,Ohio,Republican
Jared Moskowitz,Strongly Supportive,Congressperson,Florida,Democratic
Seth Moulton,Strongly Supportive,Congressperson,Massachusetts,Democratic
Markwayne Mullin,Strongly Supportive,Senator,Oklahoma,Republican
Lisa Murkowski,Strongly Supportive,Senator,Alaska,Republican
Greg Murphy DR.,Strongly Supportive,Congressperson,North Carolina,Republican
Troy Nehls,Strongly Supportive,Congressperson,Texas,Republican
Dan Newhouse,Strongly Supportive,Congressperson,Washington,Republican
Wiley Nickel,Strongly Supportive,Political Figure,North Carolina,Democratic
Ralph Norman Jr.,Strongly Supportive,Congressperson,South Carolina,Republican
Zach Nunn,Strongly Supportive,Congressperson,Iowa,Republican
Jay Obernolte,Strongly Supportive,Congressperson,California,Republican
Andy Ogles,Strongly Supportive,Congressperson,Tennessee,Republican
Gary Palmer,Strongly Supportive,Congressperson,Alabama,Republican
Jimmy Patronis,Strongly Supportive,Congressperson,Florida,Republican
August Pfluger II,Strongly Supportive,Congressperson,Texas,Republican
Jim Pillen,Not Calculated,Governor,Nebraska,Republican
Jared Polis,Not Calculated,Governor,Colorado,Democratic
Nellie Pou,Strongly Supportive,Congressperson,New Jersey,Democratic
Guy Reschenthaler,Strongly Supportive,Congressperson,Pennsylvania,Republican
Pete Ricketts,Strongly Supportive,Senator,Nebraska,Republican
Jim Risch,Strongly Supportive,Senator,Idaho,Republican
Hal Rogers,Strongly Supportive,Congressperson,Kentucky,Republican
Mike Rogers,Strongly Supportive,Congressperson,Alabama,Republican
John Rose,Strongly Supportive,Congressperson,Tennessee,Republican
David Rouzer,Strongly Supportive,Congressperson,North Carolina,Republican
John Rutherford,Strongly Supportive,Congressperson,Florida,Republican
Maria Salazar,Strongly Supportive,Congressperson,Florida,Republican
Steve Scalise,Strongly Supportive,Congressperson,Louisiana,Republican
ESEric Schmitt,Strongly Supportive,Senator,Missouri,Republican
David Schweikert,Strongly Supportive,Congressperson,Arizona,Republican
Keith Self,Strongly Supportive,Congressperson,Texas,Republican
Pete Sessions,Strongly Supportive,Congressperson,Texas,Republican
Mike Simpson,Strongly Supportive,Congressperson,Idaho,Republican
Adrian Smith,Strongly Supportive,Congressperson,Nebraska,Republican
Jason Smith,Strongly Supportive,Congressperson,Missouri,Republican
Chris Smith,Strongly Supportive,Congressperson,New Jersey,Republican
Lloyd Smucker,Strongly Supportive,Congressperson,Pennsylvania,Republican
Darren Soto,Strongly Supportive,Congressperson,Florida,Democratic
Victoria Spartz,Strongly Supportive,Congressperson,Indiana,Republican
Pete Stauber,Strongly Supportive,Congressperson,Minnesota,Republican
Bryan Steil,Strongly Supportive,Congressperson,Wisconsin,Republican
Greg Steube,Strongly Supportive,Congressperson,Florida,Republican
Dale Strong,Strongly Supportive,Congressperson,Alabama,Republican
Marlin Stutzman,Strongly Supportive,Congressperson,Indiana,Republican
Dan Sullivan,Strongly Supportive,Senator,Alaska,Republican
Thomas Suozzi,Strongly Supportive,Congressperson,New York,Democratic
David Taylor,Strongly Supportive,Congressperson,Ohio,Republican
Claudia Tenney,Strongly Supportive,Congressperson,New York,Republican
Glenn Thompson,Strongly Supportive,Congressperson,Pennsylvania,Republican
John Thune,Strongly Supportive,Senator,South Dakota,Republican
Tom Tiffany,Strongly Supportive,Congressperson,Wisconsin,Republican
William Timmons IV,Strongly Supportive,Congressperson,South Carolina,Republican
Tommy Tuberville,Strongly Supportive,Senator,Alabama,Republican
Mike Turner,Strongly Supportive,Congressperson,Ohio,Republican
James Uthmeier,Not Calculated,Attorney General,Florida,Republican
Jeff Van Drew,Strongly Supportive,Congressperson,New Jersey,Republican
Derrick Van Orden,Strongly Supportive,Congressperson,Wisconsin,Republican
JD Vance,Strongly Supportive,Vice President,-,Republican
Ann Wagner,Strongly Supportive,Congressperson,Missouri,Republican
Tim Walberg,Strongly Supportive,Congressperson,Michigan,Republican
Randy Weber,Strongly Supportive,Congressperson,Texas,Republican
Bruce Westerman,Strongly Supportive,Congressperson,Arkansas,Republican
Roger Wicker,Strongly Supportive,Senator,Mississippi,Republican
Joe Wilson,Strongly Supportive,Congressperson,South Carolina,Republican
Todd Young,Strongly Supportive,Senator,Indiana,Republican
Ryan Zinke,Strongly Supportive,Congressperson,Montana,Republican
Pete Aguilar,Strongly Supportive,Congressperson,California,Democratic
Angela Alsobrooks,Strongly Supportive,Senator,Maryland,Democratic
Michael Baumgartner,Strongly Supportive,Congressperson,Washington,Republican
Cory Booker,Strongly Supportive,Senator,New Jersey,Democratic
John Boozman,Strongly Supportive,Senator,Arkansas,Republican
Rob Bresnahan,Strongly Supportive,Congressperson,Pennsylvania,Republican
Nikki Budzinski,Strongly Supportive,Congressperson,Illinois,Democratic
Mike Carey,Strongly Supportive,Congressperson,Ohio,Republican
Bill Cassidy,Strongly Supportive,Senator,Louisiana,Republican
Herb Conaway,Strongly Supportive,Congressperson,New Jersey,Democratic
John Cornyn,Strongly Supportive,Senator,Texas,Republican
Angie Craig,Strongly Supportive,Congressperson,Minnesota,Democratic
Jeff Crank,Strongly Supportive,Congressperson,Colorado,Republican
Mike Crapo,Strongly Supportive,Senator,Idaho,Republican
Don Davis,Strongly Supportive,Congressperson,North Carolina,Democratic
Mónica De La Cruz,Strongly Supportive,Congressperson,Texas,Republican
Jake Ellzey Sr.,Strongly Supportive,Congressperson,Texas,Republican
Randy Feenstra,Strongly Supportive,Congressperson,Iowa,Republican
Brad Finstad,Strongly Supportive,Congressperson,Minnesota,Republican
Michelle Fischbach,Strongly Supportive,Congressperson,Minnesota,Republican
Scott Fitzgerald,Strongly Supportive,Congressperson,Wisconsin,Republican
Ruben Gallego,Strongly Supportive,Senator,Arizona,Democratic
Brandon Gill,Strongly Supportive,Congressperson,Texas,Republican
Carlos Giménez,Strongly Supportive,Congressperson,Florida,Republican
Dan Goldman,Strongly Supportive,Congressperson,New York,Democratic
Jimmy Gomez,Strongly Supportive,Congressperson,California,Democratic
Josh Gottheimer,Strongly Supportive,Congressperson,New Jersey,Democratic
Mark Green DR.,Strongly Supportive,Congressperson,Tennessee,Republican
Brett Guthrie,Strongly Supportive,Congressperson,Kentucky,Republican
Josh Harder,Strongly Supportive,Congressperson,California,Democratic
Pat Harrigan,Strongly Supportive,Congressperson,North Carolina,Republican
Martin Heinrich,Strongly Supportive,Senator,New Mexico,Democratic
Ashley Hinson,Strongly Supportive,Congressperson,Iowa,Republican
Steven Horsford,Strongly Supportive,Congressperson,Nevada,Democratic
Cindy Hyde-Smith,Strongly Supportive,Senator,Mississippi,Republican
Brian Jack,Strongly Supportive,Congressperson,Georgia,Republican
Thomas Kean Jr.,Strongly Supportive,Congressperson,New Jersey,Republican
Young Kim,Strongly Supportive,Congressperson,California,Republican
Raja Krishnamoorthi,Strongly Supportive,Congressperson,Illinois,Democratic
Mike Lawler,Strongly Supportive,Congressperson,New York,Republican
Susie Lee,Strongly Supportive,Congressperson,Nevada,Democratic
Mike Levin,Strongly Supportive,Congressperson,California,Democratic
Ted Lieu,Strongly Supportive,Congressperson,California,Democratic
Zoe Lofgren,Strongly Supportive,Congressperson,California,Democratic
Barry Loudermilk,Strongly Supportive,Congressperson,Georgia,Republican
Ben Luján,Strongly Supportive,Senator,New Mexico,Democratic
Ryan Mackenzie,Strongly Supportive,Congressperson,Pennsylvania,Republican
Lucy McBath,Strongly Supportive,Congressperson,Georgia,Democratic
Kristen McDonald Rivet,Strongly Supportive,Congressperson,Michigan,Democratic
April Mcclain Delaney,Strongly Supportive,Congressperson,Maryland,Democratic
Robert Menendez,Strongly Supportive,Congressperson,New Jersey,Democratic
Dan Meuser,Strongly Supportive,Congressperson,Pennsylvania,Republican
Riley Moore,Strongly Supportive,Congressperson,West Virginia,Republican
Bob Onder,Strongly Supportive,Congressperson,Missouri,Republican
Jon Ossoff,Strongly Supportive,Senator,Georgia,Democratic
Burgess Owens,Strongly Supportive,Congressperson,Utah,Republican
Alex Padilla,Strongly Supportive,Senator,California,Democratic
Jimmy Panetta,Strongly Supportive,Congressperson,California,Democratic
Josh Riley,Strongly Supportive,Congressperson,New York,Democratic
Jacky Rosen,Strongly Supportive,Senator,Nevada,Democratic
Mike Rounds,Strongly Supportive,Senator,South Dakota,Republican
Michael Rulli,Strongly Supportive,Congressperson,Ohio,Republican
Pat Ryan,Strongly Supportive,Congressperson,New York,Democratic
Adam Schiff,Strongly Supportive,Senator,California,Democratic
Derek Schmidt,Strongly Supportive,Congressperson,Kansas,Republican
Brad Schneider,Strongly Supportive,Congressperson,Illinois,Democratic
Hillary Scholten,Strongly Supportive,Congressperson,Michigan,Democratic
